Search Rank,Brand,Model,Rating,Number of Ratings
44,Insignia™,NS-55DR620NA18,4.7,82
45,LG,49UJ6300,4.5,52
46,Insignia™,NS-50DR620NA18,4.4,187
47,Samsung,UN55MU6300FXZA,4.7,312
48,Samsung,UN65MU8000FXZA,4.7,624
49,Westinghouse,WD43UB4530,4.2,212
50,Samsung,UN55MU6500FXZA,4.7,200
51,Samsung,UN55MU7000FXZA,4.7,239
52,Westinghouse,WD50UC4300,4.2,870
53,LG,60UJ6300,4.5,54
54,TCL,55S405,4.4,34
55,VIZIO,D40f-E1,"",""
56,Sony,XBR49X700D,4.6,923
57,LG,55UH6150,4.6,1567
58,Westinghouse,WD55UB4530,4.1,426
59,LG,49UH6030,4.5,543
60,Toshiba,43L511U18,4.7,22
61,LG,"",4.8,23
62,Toshiba,49L621U,4.5,1851
63,Toshiba,55L621U,4.3,1131
64,Samsung,UN32J4500AFXZA,4.6,3604
65,VIZIO,D32x-D1/D32f-E1,4.6,666
66,VIZIO,D24-D1,4.5,1317
67,Samsung,UN49M5300AFXZA,4.8,67
68,LG,55LJ550M,4.6,212
69,Samsung,UN50M5300FXZA,3.7,3
70,Insignia™,NS-24ER310NA17,4.4,1204
71,Samsung,UN32J5205AFXZA,4.6,4571
72,Sharp,LC-43LBU591U,4.7,6
73,Samsung,UN65MU8500FXZA,4.7,214
74,Sony,XBR55X900E,4.7,511
75,Samsung,UN55MU8000FXZA,4.7,280
76,Samsung,UN49MU8000FXZA,4.6,118
77,Sony,XBR65X850E,4.7,418
78,Sony,XBR75X850E,4.7,298
79,Samsung,UN55MU8500FXZA,4.7,160
80,LG,65SJ8500,4.7,41
81,LG,OLED55C7P,4.9,129
82,LG,65UJ7700,4.6,16
83,LG,60UJ7700,4.7,22
84,LG,OLED65C7P,4.8,170
85,Samsung,QN55Q7FAMFXZA,4.7,94
86,Sony,XBR65A1E,4.9,80
87,LG,55SJ8500,4.6,21
88,LG,OLED65E7P,4.8,19
89,Samsung,QN75Q7FAMFXZA,4.7,46
90,Sony,XBR75X940E,4.4,52
91,Samsung,QN65Q9FAMFXZA,4.7,22
92,LG,75SJ8570,4.8,48
93,Sony,KDL48R510C/US,4.5,786
94,Samsung,QN55Q7CAMFXZA,4.8,24
95,Samsung,QN65Q7CAMFXZA,4.9,35
96,Sony,XBR55A1E,4.8,47
97,Samsung,QN65Q9FAMFXZA,4.7,22
98,LG,75SJ8570,4.8,48
99,Samsung,QN55Q7CAMFXZA,4.8,24
100,Samsung,QN65Q7CAMFXZA,4.9,35
101,Sony,XBR55A1E,4.8,47
102,LG,OLED55E7P,5,7
103,Sony,KDL48R510C/US,4.5,786
104,LG,65SJ9500,4.6,18
105,Samsung,UN75MU6300FXZA,4.7,29
106,Sony,XBR49X900E,4.6,151
107,Samsung,UN75MU8000FXZA,4.6,122
108,Samsung,QN65Q7FAMFXZA,4.7,136
109,Sony,XBR75X900E,4.8,129
110,Samsung,UN65MU9000FXZA,4.7,107
111,Samsung,UN65MU7000FXZA,4.7,158
112,Samsung,UN75MU9000FXZA,4.9,9
113,VIZIO,E43-E2,4.5,72
114,LG,75UJ6470,4.4,17
115,VIZIO,E65-E1,4.4,464
116,Sony,KD49X720E,4.3,12
117,VIZIO,E50-E3/E50-E1,4.3,949
118,Sony,"",4,1
119,Sony,"",4,2
120,VIZIO,E55-E2,4.3,614
121,Samsung,UN65MU7500FXZA,4.8,66
122,TCL,49S405,4.7,72
123,Samsung,UN55MU9000FXZA,4.8,57
124,VIZIO,M65-E0,4.6,77
125,Samsung,UN82MU8000FXZA,4.7,14
126,Sony,XBR49X800E,4.6,216
127,Sony,XBR55X930E,4.9,72
128,LG,OLED65B7A,4.7,12
129,Samsung,QN75Q8CAMFXZA,4.2,13
130,LG,OLED55B7A,4.8,22
131,Sony,XBR65X930E,4.7,130
132,LG,OLED65G7P,4.8,8
133,VIZIO,M75-E1,3,2
134,Samsung,QN65Q8CAMFXZA,4.6,10
135,Sony,XBR65Z9D,4.9,49
136,Hisense,50H8C,4.6,1106
137,Hisense,65H8C,4.6,248
138,Hisense,43H7C,4.4,471
139,Sony,XBR85X850D,4.4,48
140,VIZIO,E75-E3,4.5,13
141,Insignia™,NS-55DR710NA17,4.5,1127
142,Samsung,UN40MU7000FXZA,4.8,61
143,Samsung,QN55Q8CAMFXZA,4.7,7
144,Samsung,UN75KS9000FXZA,4.6,40
145,Samsung,UN55KU7000FXZA,4.6,774
146,Samsung,QN75Q9FAMFXZA,5,2
147,LG,60UH7700,4.6,703
148,Westinghouse,WE55UC4200,3.8,127
149,TCL,"","",""
150,Toshiba,55L421U,4.4,1255
151,LG,OLED77G7P,"",""
152,Sony,XBR77A1E,"",""
153,Toshiba,50L711U18,4.7,13
154,Toshiba,55L711U18,4.4,13
155,LG,OLED77W7P,3,2
156,LG,OLED65W7P,3.2,5
157,Westinghouse,WD48FAB100,"",""
158,Samsung,UN28M4500AFXZA,5,2
159,Samsung,UN32M5300AFXZA,4,5
160,Samsung,UN32M4500AFXZA,5,1
161,VIZIO,D48F-E0,5,1
162,Samsung,UN24M4500AFXZA,"",""
163,VIZIO,D24H-E1,"",""
164,Sony,KD43X720E,4.7,26
165,Sony,KD55X720E,4.9,23
166,VIZIO,E70-E3,4.5,774
167,TCL,55P605,4.6,121
168,VIZIO,D50F-E1,"",""
169,VIZIO,M55-E0,4.8,34
170,VIZIO,M50-E1,4.6,39
171,Sony,XBR43X800E,4.7,47
172,Sony,XBR-65X750D,4.7,1467
173,VIZIO,M55-D0,4.2,531
174,VIZIO,E60-E3,4.3,90
175,Hisense,55H8C,4.6,648
176,LG,49UH6100,4.6,915
177,Samsung,UN55LS003AFXZA,4.4,7
178,Samsung,UN58J5190AFXZA,4.6,2254
179,Hisense,50H4D,"",""
180,Sony,XBR-49X800D,4.7,1183
181,Sony,XBR75Z9D,4.8,45
182,Samsung,UN65LS003AFXZA,3,2
183,Samsung,UN65KS9500FXZA,4.8,523
184,Samsung,UN88KS9810FXZA,5,1
185,Samsung,UN19F4000AFXZA/UN19F4000BFXZA,4.6,586
186,Samsung,QN88Q9FAMFXZA,"",""
187,TCL,43S405,"",""
188,Samsung,UN40M5300AFXZA,"",""
189,Sony,XBR100Z9D,4.3,3
